Experiment Number,Database Schema Type,LLM Name,Attempt Number,Generated SQL Query,Query Validity (Yes/No),Ground Truth Exact Match? (Yes/No),Exact Match (1/0),Execution Time (ms),Result Rows Count,Resulted Rows,TP (rows in GQ and GT),FP (rows in GQ but not in GT),FN (rows in GT but not in GQ),Precision,Recall,F1-Score,Notes,Average Runtime
11,Normal Format,Google Gemini 1.5 Flash,1,"SELECT
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM
    dbo.Sales
WHERE
    transaction_date BETWEEN '2023-01-01' AND '2023-01-31'
    AND transaction_time BETWEEN '06:00:00' AND '12:00:00'
    AND product_category = 'Coffee'
GROUP BY
    store_location,
    product_type;",Yes,Yes,1,85,15,,15,0,0,1,1,1,,
12,Normal Format,Google Gemini 1.5 Flash,2,"SELECT
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM
    dbo.Sales
WHERE
    transaction_date BETWEEN '2023-01-01' AND '2023-01-31'
    AND transaction_time BETWEEN '06:00:00' AND '12:00:00'
    AND product_category = 'Coffee'
GROUP BY
    store_location,
    product_type;",Yes,Yes,1,75,15,,15,0,0,1,1,1,,
13,Normal Format,Google Gemini 1.5 Flash,3,"SELECT
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM
    dbo.Sales
WHERE
    transaction_date BETWEEN '2023-01-01' AND '2023-01-31'
    AND transaction_time BETWEEN '06:00:00' AND '12:00:00'
    AND product_category = 'Coffee'
GROUP BY
    store_location,
    product_type;",Yes,Yes,1,73,15,,15,0,0,1,1,1,,
14,Normal Format,Google Gemini 1.5 Flash,4,"SELECT
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM
    dbo.Sales
WHERE
    transaction_date BETWEEN '2023-01-01' AND '2023-01-31'
    AND transaction_time BETWEEN '06:00:00' AND '12:00:00'
    AND product_category = 'Coffee'
GROUP BY
    store_location,
    product_type;",Yes,Yes,1,71,15,,15,0,0,1,1,1,,
15,Normal Format,Google Gemini 1.5 Flash,5,"SELECT
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM
    dbo.Sales
WHERE
    transaction_date BETWEEN '2023-01-01' AND '2023-01-31'
    AND transaction_time BETWEEN '06:00:00' AND '12:00:00'
    AND product_category = 'Coffee'
GROUP BY
    store_location,
    product_type;",Yes,Yes,1,67,15,,15,0,0,1,1,1,,74.2
16,Normal Format,Claude 3 Concise,1,"SELECT 
    store_location, 
    product_type, 
    SUM(transaction_qty * unit_price) AS total_revenue
FROM 
    dbo.Sales
WHERE 
    product_category = 'Coffee'
    AND transaction_date BETWEEN '01/01/23' AND '01/31/23'
    AND CONVERT(TIME, transaction_time) BETWEEN '06:00:00' AND '12:00:00'
GROUP BY 
    store_location, 
    product_type
ORDER BY 
    store_location, 
    total_revenue DESC;",Yes,Yes,1,126,15,,15,0,0,1,1,1,,
17,Normal Format,Claude 3 Concise,2,"SELECT 
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM 
    dbo.Sales
WHERE 
    product_category = 'Coffee' 
    AND CONVERT(DATE, transaction_date) BETWEEN '01/01/2023' AND '01/31/2023'
    AND CONVERT(TIME, transaction_time) BETWEEN '06:00:00' AND '12:00:00'
GROUP BY 
    store_location, 
    product_type
ORDER BY 
    store_location, 
    total_revenue DESC;",Yes,Yes,1,141,15,,15,0,0,1,1,1,,
18,Normal Format,Claude 3 Concise,3,"SELECT 
    store_location, 
    product_type, 
    SUM(transaction_qty * unit_price) AS total_revenue
FROM 
    dbo.Sales
WHERE 
    product_category = 'Coffee' AND
    transaction_date BETWEEN '01/01/23' AND '01/31/23' AND
    CONVERT(TIME, transaction_time) BETWEEN '06:00:00' AND '12:00:00'
GROUP BY 
    store_location, 
    product_type
ORDER BY 
    store_location, 
    total_revenue DESC;",Yes,Yes,1,151,15,,15,0,0,1,1,1,,
19,Normal Format,Claude 3 Concise,4,"SELECT 
    store_location,
    product_type,
    ROUND(SUM(transaction_qty * unit_price), 2) AS total_revenue
FROM 
    dbo.Sales
WHERE 
    product_category = 'Coffee'
    AND transaction_date BETWEEN '01/01/23' AND '01/31/23'
    AND CONVERT(TIME, transaction_time) BETWEEN '06:00:00' AND '12:00:00'
GROUP BY 
    store_location, 
    product_type
ORDER BY 
    store_location, 
    total_revenue DESC;",Yes,Yes,1,126,15,,15,0,0,1,1,1,The decimal place is set at 2,
20,Normal Format,Claude 3 Concise,5,"SELECT 
    store_location,
    product_type,
    ROUND(SUM(transaction_qty * unit_price), 2) AS total_revenue
FROM 
    dbo.Sales
WHERE 
    product_category = 'Coffee' 
    AND transaction_date BETWEEN '01/01/23' AND '01/31/23'
    AND CONVERT(TIME, transaction_time) BETWEEN '06:00:00' AND '12:00:00'
GROUP BY 
    store_location, 
    product_type
ORDER BY 
    store_location, 
    total_revenue DESC;",Yes,Yes,1,172,15,,15,0,0,1,1,1,,143.2
21,Normal Format,Mistral Large 2,1,"SELECT
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM
    dbo.Sales
WHERE
    product_category = 'Coffee'
    AND transaction_date BETWEEN '01/01/23' AND '01/31/23'
    AND CAST(transaction_time AS TIME) BETWEEN '06:00:00' AND '12:00:00'
GROUP BY
    store_location,
    product_type
ORDER BY
    store_location,
    product_type;
",Yes,Yes,1,133,15,,15,0,0,1,1,1,,
22,Normal Format,Mistral Large 2,2,"SELECT
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM
    dbo.Sales
WHERE
    product_category = 'Coffee'
    AND transaction_date BETWEEN '01/01/23' AND '01/31/23'
    AND CAST(transaction_time AS TIME) BETWEEN '06:00:00' AND '12:00:00'
GROUP BY
    store_location,
    product_type;",Yes,Yes,1,119,15,,15,0,0,1,1,1,,
23,Normal Format,Mistral Large 2,3,"SELECT
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM
    dbo.Sales
WHERE
    product_category = 'Coffee'
    AND transaction_date BETWEEN '01/01/23' AND '01/31/23'
    AND CAST(transaction_time AS TIME) BETWEEN '06:00:00' AND '12:00:00'
GROUP BY
    store_location,
    product_type;",Yes,Yes,1,95,15,,15,0,0,1,1,1,,
24,Normal Format,Mistral Large 2,4,"SELECT
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM
    dbo.Sales
WHERE
    product_category = 'Coffee'
    AND transaction_date BETWEEN '01/01/23' AND '01/31/23'
    AND CAST(transaction_time AS TIME) BETWEEN '06:00:00' AND '12:00:00'
GROUP BY
    store_location,
    product_type;",Yes,Yes,1,89,15,,15,0,0,1,1,1,,
25,Normal Format,Mistral Large 2,5,"SELECT
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM
    dbo.Sales
WHERE
    product_category = 'Coffee'
    AND transaction_date BETWEEN '01/01/23' AND '01/31/23'
    AND CAST(transaction_time AS TIME) BETWEEN '06:00:00' AND '12:00:00'
GROUP BY
    store_location,
    product_type
ORDER BY
    store_location,
    product_type;",Yes,Yes,1,113,15,,15,0,0,1,1,1,,109.8
26,Normal Format,Cohere Command R+,1,"SELECT 
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM dbo.Sales
WHERE 
    product_category = 'Coffee'
    AND transaction_date BETWEEN '01/01/23' AND '01/31/23'
    AND transaction_time BETWEEN '06:00:00' AND '12:00:00'
GROUP BY 
    store_location,
    product_type;",Yes,Yes,1,261,15,,15,0,0,1,1,1,,
27,Normal Format,Cohere Command R+,2,"SELECT 
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM dbo.Sales
WHERE 
    product_category = 'Coffee'
    AND transaction_time BETWEEN '06:00:00' AND '12:00:00'
    AND transaction_date BETWEEN '01/01/23' AND '01/31/23'
GROUP BY 
    store_location,
    product_type;",Yes,Yes,1,101,15,,15,0,0,1,1,1,,
28,Normal Format,Cohere Command R+,3,"SELECT 
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM dbo.Sales
WHERE 
    product_category = 'Coffee'
    AND transaction_date BETWEEN '01/01/23' AND '01/31/23'
    AND transaction_time BETWEEN '06:00:00' AND '12:00:00'
GROUP BY 
    store_location,
    product_type;",Yes,Yes,1,97,15,,15,0,0,1,1,1,,
29,Normal Format,Cohere Command R+,4,"SELECT 
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM dbo.Sales
WHERE 
    product_category = 'Coffee'
    AND transaction_date BETWEEN '01/01/23' AND '01/31/23'
    AND transaction_time BETWEEN '06:00:00' AND '12:00:00'
GROUP BY 
    store_location,
    product_type;",Yes,Yes,1,65,15,,15,0,0,1,1,1,,
30,Normal Format,Cohere Command R+,5,"SELECT 
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM dbo.Sales
WHERE 
    product_category = 'Coffee'
    AND transaction_date BETWEEN '01/01/2023' AND '01/31/2023'
    AND transaction_time BETWEEN '06:00:00' AND '12:00:00'
GROUP BY 
    store_location,
    product_type;",Yes,Yes,1,111,15,,15,0,0,1,1,1,,127
31,Star Schema,Meta Llama 3.1 405B,1,"SELECT 
    ds.store_location,
    dp.product_type,
    SUM(fs.revenue) AS total_revenue
FROM 
    dbo.Fact_Sales fs
INNER JOIN 
    dbo.Dim_Store ds ON fs.store_id = ds.store_id
INNER JOIN 
    dbo.Dim_Product dp ON fs.product_id = dp.product_id
INNER JOIN 
    dbo.Dim_Date dd ON fs.date_id = dd.date_id
INNER JOIN 
    dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE 
    dp.product_category = 'Coffee'
    AND dd.month = 'January'
    AND dd.year = 2023
    AND dt.period_of_day = 'Morning'
GROUP BY 
    ds.store_location,
    dp.product_type
ORDER BY 
    ds.store_location,
    dp.product_type;",Yes,Yes,1,239,15,,15,0,0,1,1,1,,
32,Star Schema,Meta Llama 3.1 405B,2,"SELECT 
    ds.store_location,
    dp.product_type,
    SUM(fs.revenue) AS total_revenue
FROM 
    dbo.Fact_Sales fs
INNER JOIN 
    dbo.Dim_Store ds ON fs.store_id = ds.store_id
INNER JOIN 
    dbo.Dim_Product dp ON fs.product_id = dp.product_id
INNER JOIN 
    dbo.Dim_Date dd ON fs.date_id = dd.date_id
INNER JOIN 
    dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE 
    dd.month = 'January' AND dd.year = 2023
    AND dt.period_of_day = 'Morning'
    AND dp.product_category = 'Coffee'
GROUP BY 
    ds.store_location, dp.product_type
ORDER BY 
    ds.store_location, dp.product_type;",Yes,Yes,1,119,15,,15,0,0,1,1,1,,
33,Star Schema,Meta Llama 3.1 405B,3,"SELECT 
    ds.store_location,
    dp.product_type,
    SUM(fs.revenue) AS total_revenue
FROM 
    dbo.Fact_Sales fs
INNER JOIN 
    dbo.Dim_Store ds ON fs.store_id = ds.store_id
INNER JOIN 
    dbo.Dim_Product dp ON fs.product_id = dp.product_id
INNER JOIN 
    dbo.Dim_Date dd ON fs.date_id = dd.date_id
INNER JOIN 
    dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE 
    dp.product_category = 'Coffee'
    AND dd.month = 'January'
    AND dd.year = 2023
    AND dt.period_of_day = 'Morning'
GROUP BY 
    ds.store_location,
    dp.product_type
ORDER BY 
    ds.store_location,
    dp.product_type;",Yes,Yes,1,116,15,,15,0,0,1,1,1,,
34,Star Schema,Meta Llama 3.1 405B,4,"SELECT 
    ds.store_location,
    dp.product_type,
    SUM(fs.revenue) AS total_revenue
FROM 
    dbo.Fact_Sales fs
INNER JOIN 
    dbo.Dim_Store ds ON fs.store_id = ds.store_id
INNER JOIN 
    dbo.Dim_Product dp ON fs.product_id = dp.product_id
INNER JOIN 
    dbo.Dim_Date dd ON fs.date_id = dd.date_id
INNER JOIN 
    dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE 
    dp.product_category = 'Coffee'
    AND dd.month = 'January'
    AND dd.year = 2023
    AND dt.period_of_day = 'Morning'
GROUP BY 
    ds.store_location,
    dp.product_type
ORDER BY 
    ds.store_location,
    dp.product_type;",Yes,Yes,1,114,15,,15,0,0,1,1,1,,
35,Star Schema,Meta Llama 3.1 405B,5,"SELECT 
    ds.store_location,
    dp.product_type,
    SUM(fs.revenue) AS total_revenue
FROM 
    dbo.Fact_Sales fs
INNER JOIN 
    dbo.Dim_Store ds ON fs.store_id = ds.store_id
INNER JOIN 
    dbo.Dim_Product dp ON fs.product_id = dp.product_id
INNER JOIN 
    dbo.Dim_Date dd ON fs.date_id = dd.date_id
INNER JOIN 
    dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE 
    dp.product_category = 'Coffee'
    AND dd.month = 'January'
    AND dd.year = 2023
    AND dt.period_of_day = 'Morning'
GROUP BY 
    ds.store_location,
    dp.product_type
ORDER BY 
    ds.store_location,
    dp.product_type;",Yes,Yes,1,132,15,,15,0,0,1,1,1,,144
36,Star Schema,OpenAI GPT-4o,1,"SELECT 
    ds.store_location,
    dp.product_type,
    SUM(fs.revenue) AS total_revenue
FROM 
    dbo.Fact_Sales fs
INNER JOIN 
    dbo.Dim_Store ds ON fs.store_id = ds.store_id
INNER JOIN 
    dbo.Dim_Product dp ON fs.product_id = dp.product_id
INNER JOIN 
    dbo.Dim_Date dd ON fs.date_id = dd.date_id
INNER JOIN 
    dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE 
    dp.product_category = 'Coffee' 
    AND dd.month = 'January' 
    AND dd.year = 2023
    AND dt.period_of_day = 'Morning'
GROUP BY 
    ds.store_location, 
    dp.product_type
ORDER BY 
    ds.store_location, 
    dp.product_type;
",Yes,Yes,1,254,15,,15,0,0,1,1,1,,
37,Star Schema,OpenAI GPT-4o,2,"SELECT 
    s.store_location,
    p.product_type,
    SUM(f.revenue) AS total_revenue
FROM 
    dbo.Fact_Sales f
INNER JOIN 
    dbo.Dim_Store s ON f.store_id = s.store_id
INNER JOIN 
    dbo.Dim_Product p ON f.product_id = p.product_id
INNER JOIN 
    dbo.Dim_Date d ON f.date_id = d.date_id
INNER JOIN 
    dbo.Dim_Time t ON f.time_id = t.time_id
WHERE 
    d.month = 'January'
    AND d.year = 2023
    AND t.period_of_day = 'Morning'
    AND p.product_category = 'Coffee'
GROUP BY 
    s.store_location,
    p.product_type;",Yes,Yes,1,170,15,,15,0,0,1,1,1,,
38,Star Schema,OpenAI GPT-4o,3,"SELECT 
    ds.store_location,
    dp.product_type,
    SUM(fs.revenue) AS total_revenue
FROM 
    dbo.Fact_Sales fs
INNER JOIN 
    dbo.Dim_Store ds ON fs.store_id = ds.store_id
INNER JOIN 
    dbo.Dim_Product dp ON fs.product_id = dp.product_id
INNER JOIN 
    dbo.Dim_Date dd ON fs.date_id = dd.date_id
INNER JOIN 
    dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE 
    dp.product_category = 'Coffee'
    AND dt.period_of_day = 'Morning'
    AND dd.month = 'January'
    AND dd.year = 2023
GROUP BY 
    ds.store_location,
    dp.product_type
ORDER BY 
    ds.store_location, 
    dp.product_type;",Yes,Yes,1,158,15,,15,0,0,1,1,1,,
39,Star Schema,OpenAI GPT-4o,4,"SELECT 
    s.store_location,
    p.product_type,
    SUM(f.revenue) AS total_revenue
FROM 
    dbo.Fact_Sales f
INNER JOIN 
    dbo.Dim_Store s ON f.store_id = s.store_id
INNER JOIN 
    dbo.Dim_Product p ON f.product_id = p.product_id
INNER JOIN 
    dbo.Dim_Date d ON f.date_id = d.date_id
INNER JOIN 
    dbo.Dim_Time t ON f.time_id = t.time_id
WHERE 
    d.month = 'January'
    AND d.year = 2023
    AND t.period_of_day = 'Morning'
    AND p.product_category = 'Coffee'
GROUP BY 
    s.store_location,
    p.product_type;",Yes,Yes,1,143,15,,15,0,0,1,1,1,,
40,Star Schema,OpenAI GPT-4o,5,"SELECT 
    ds.store_location,
    dp.product_type,
    SUM(fs.revenue) AS total_revenue
FROM 
    dbo.Fact_Sales fs
INNER JOIN 
    dbo.Dim_Store ds ON fs.store_id = ds.store_id
INNER JOIN 
    dbo.Dim_Product dp ON fs.product_id = dp.product_id
INNER JOIN 
    dbo.Dim_Date dd ON fs.date_id = dd.date_id
INNER JOIN 
    dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE 
    dp.product_category = 'Coffee'
    AND dt.period_of_day = 'Morning'
    AND dd.month = 'January'
    AND dd.year = 2023
GROUP BY 
    ds.store_location,
    dp.product_type
ORDER BY 
    ds.store_location, 
    dp.product_type;",Yes,Yes,1,154,15,,15,0,0,1,1,1,,175.8
41,Star Schema,Google Gemini 1.5 Flash,1,"SELECT
    s.store_location,
    p.product_type,
    SUM(f.transaction_qty * unit_price) AS total_revenue
FROM
    dbo.Fact_Sales f
INNER JOIN dbo.Dim_Store s ON f.store_id = s.store_id
INNER JOIN dbo.Dim_Product p ON f.product_id = p.product_id
INNER JOIN dbo.Dim_Date d ON f.date_id = d.date_id
INNER JOIN dbo.Dim_Time t ON f.time_id = t.time_id
WHERE
    d.month = 'January'
    AND d.year = 2023
    AND t.period_of_day = 'Morning'
    AND p.product_category = 'Coffee'
GROUP BY
    s.store_location,
    p.product_type;",Yes,Yes,1,129,15,,15,0,0,1,1,1,,
42,Star Schema,Google Gemini 1.5 Flash,2,"SELECT
    s.store_location,
    p.product_type,
    SUM(f.revenue) AS total_revenue
FROM
    dbo.Fact_Sales f
INNER JOIN dbo.Dim_Store s ON f.store_id = s.store_id
INNER JOIN dbo.Dim_Product p ON f.product_id = p.product_id
INNER JOIN dbo.Dim_Date d ON f.date_id = d.date_id
INNER JOIN dbo.Dim_Time t ON f.time_id = t.time_id
WHERE
    d.month = 'January'
    AND d.year = 2023
    AND t.period_of_day = 'Morning'
    AND p.product_category = 'Coffee'
GROUP BY
    s.store_location,
    p.product_type;",Yes,Yes,1,299,15,,15,0,0,1,1,1,,
43,Star Schema,Google Gemini 1.5 Flash,3,"SELECT
    s.store_location,
    p.product_type,
    SUM(f.revenue) AS total_revenue
FROM
    dbo.Fact_Sales f
INNER JOIN dbo.Dim_Store s ON f.store_id = s.store_id
INNER JOIN dbo.Dim_Product p ON f.product_id = p.product_id
INNER JOIN dbo.Dim_Date d ON f.date_id = d.date_id
INNER JOIN dbo.Dim_Time t ON f.time_id = t.time_id
WHERE
    d.month = 'January'
    AND d.year = 2023
    AND t.period_of_day = 'Morning'
    AND p.product_category = 'Coffee'
GROUP BY
    s.store_location,
    p.product_type;",Yes,Yes,1,136,15,,15,0,0,1,1,1,,
44,Star Schema,Google Gemini 1.5 Flash,4,"SELECT
    ds.store_location,
    dp.product_type,
    SUM(fs.revenue) AS total_revenue
FROM
    dbo.Fact_Sales fs
INNER JOIN dbo.Dim_Store ds ON fs.store_id = ds.store_id
INNER JOIN dbo.Dim_Product dp ON fs.product_id = dp.product_id
INNER JOIN dbo.Dim_Date dd ON fs.date_id = dd.date_id
INNER JOIN dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE
    dd.month = 'January'
    AND dd.year = 2023
    AND dt.period_of_day = 'Morning'
    AND dp.product_category = 'Coffee'
GROUP BY
    ds.store_location,
    dp.product_type;",Yes,Yes,1,141,15,,15,0,0,1,1,1,,
45,Star Schema,Google Gemini 1.5 Flash,5,"SELECT
    s.store_location,
    p.product_type,
    SUM(f.revenue) AS total_revenue
FROM
    dbo.Fact_Sales f
INNER JOIN dbo.Dim_Store s ON f.store_id = s.store_id
INNER JOIN dbo.Dim_Product p ON f.product_id = p.product_id
INNER JOIN dbo.Dim_Date d ON f.date_id = d.date_id
INNER JOIN dbo.Dim_Time t ON f.time_id = t.time_id
WHERE
    d.month = 'January'
    AND d.year = 2023
    AND t.period_of_day = 'Morning'
    AND p.product_category = 'Coffee'
GROUP BY
    s.store_location,
    p.product_type;",Yes,Yes,1,144,15,,15,0,0,1,1,1,,169.8
46,Star Schema,Claude 3 Concise,1,"SELECT 
   ds.store_location, 
   dp.product_type, 
   ROUND(SUM(fs.revenue), 2) AS total_revenue
FROM 
   dbo.Fact_Sales fs
JOIN 
   dbo.Dim_Store ds ON fs.store_id = ds.store_id
JOIN 
   dbo.Dim_Product dp ON fs.product_id = dp.product_id
JOIN 
   dbo.Dim_Date dd ON fs.date_id = dd.date_id
JOIN 
   dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE 
   dd.month = 'January' 
   AND dd.year = 2023 
   AND dt.period_of_day = 'Morning'
   AND dp.product_category = 'Coffee'
GROUP BY 
   ds.store_location, 
   dp.product_type
ORDER BY 
   ds.store_location, 
   total_revenue DESC;",Yes,Yes,1,184,15,,15,0,0,1,1,1,Limit revenue to 2 decimal places,
47,Star Schema,Claude 3 Concise,2,"SELECT ds.store_location, 
      dp.product_type, 
      SUM(fs.revenue) AS total_revenue
FROM dbo.Fact_Sales fs
JOIN dbo.Dim_Store ds ON fs.store_id = ds.store_id
JOIN dbo.Dim_Product dp ON fs.product_id = dp.product_id
JOIN dbo.Dim_Date dd ON fs.date_id = dd.date_id
JOIN dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE dd.month = 'January' 
 AND dd.year = 2023
 AND dt.period_of_day = 'Morning'
 AND dp.product_category = 'Coffee'
GROUP BY ds.store_location, dp.product_type
ORDER BY ds.store_location, dp.product_type;",Yes,Yes,1,171,15,,15,0,0,1,1,1,,
48,Star Schema,Claude 3 Concise,3,"SELECT 
   ds.store_location, 
   dp.product_type, 
   SUM(fs.revenue) AS total_revenue
FROM 
   dbo.Fact_Sales fs
   JOIN dbo.Dim_Store ds ON fs.store_id = ds.store_id
   JOIN dbo.Dim_Product dp ON fs.product_id = dp.product_id
   JOIN dbo.Dim_Date dd ON fs.date_id = dd.date_id
   JOIN dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE 
   dp.product_category = 'Coffee'
   AND dd.month = 'January'
   AND dd.year = 2023
   AND dt.period_of_day = 'Morning'
GROUP BY 
   ds.store_location, 
   dp.product_type
ORDER BY 
   ds.store_location, 
   total_revenue DESC;",Yes,Yes,1,163,15,,15,0,0,1,1,1,,
